iter	Passed	Remaining
460	773	904
461	775	902
462	776	900
463	777	898
464	778	895
465	779	892
466	780	890
467	781	888
468	782	885
469	783	883
470	783	880
471	784	877
472	785	875
473	786	873
474	787	870
475	788	868
476	789	865
477	791	864
478	792	861
479	793	859
480	794	857
481	795	854
482	796	852
483	797	850
484	798	847
485	799	845
486	800	842
487	801	840
488	802	838
489	803	835
490	804	833
491	805	831
492	806	829
493	807	827
494	808	825
495	809	822
496	810	820
497	811	818
498	812	815
499	813	813
500	814	811
501	815	809
502	816	806
503	817	804
504	818	802
505	819	800
506	820	798
507	822	796
508	822	793
509	823	791
510	824	789
511	825	787
512	826	784
513	827	782
514	828	780
515	829	778
516	830	775
517	831	773
518	832	771
519	833	769
520	834	767
521	835	765
522	837	763
523	837	761
524	838	758
525	839	756
526	840	754
527	841	752
528	842	750
529	843	748
530	844	745
531	845	743
532	846	741
533	847	739
534	848	737
535	849	735
536	851	733
537	852	732
538	853	729
539	854	727
540	855	725
541	856	723
542	857	721
543	858	719
544	859	717
545	859	715
546	861	713
547	862	711
548	862	708
549	864	706
550	865	704
551	866	703
552	867	701
553	868	699
554	869	697
555	870	694
556	871	692
557	872	690
558	872	688
559	873	686
560	874	684
561	875	682
562	876	680
563	877	678
564	878	676
565	879	674
566	880	672
567	881	670
568	882	668
569	883	666
570	884	664
571	885	662
572	886	660
573	887	658
574	888	656
575	889	654
576	890	652
577	891	650
578	892	648
579	893	647
580	894	645
581	895	643
582	896	641
583	898	639
584	899	637
585	900	635
586	901	634
587	902	632
588	902	630
589	903	628
590	904	626
591	905	624
592	906	622
593	907	620
594	908	618
595	909	616
596	910	614
597	911	613
598	912	611
599	913	609
600	914	607
601	915	605
602	916	603
603	917	601
604	918	599
605	918	597
606	919	595
607	921	593
608	922	592
609	923	590
610	924	588
611	924	586
612	925	584
613	926	582
614	927	580
615	928	578
616	929	577
617	930	575
618	931	573
619	932	571
620	933	569
621	934	567
622	935	566
623	936	564
624	937	562
625	938	560
626	939	558
627	940	557
628	941	555
629	942	553
630	943	551
631	944	549
632	945	548
633	946	546
634	947	544
635	948	542
636	949	540
637	950	539
638	951	537
639	952	535
640	953	533
641	954	532
642	955	530
643	955	528
644	956	526
645	957	524
646	958	523
647	959	521
648	960	519
649	961	517
650	962	515
651	963	514
652	964	512
653	965	510
654	966	509
655	967	507
656	968	505
657	969	503
658	970	502
659	971	500
660	972	498
661	973	496
662	974	495
663	975	493
664	976	491
665	977	490
666	978	488
667	979	486
668	980	484
669	981	483
670	982	481
671	983	480
672	984	478
673	985	476
674	986	474
675	987	473
676	988	471
677	989	469
678	990	468
679	990	466
680	991	464
681	992	462
682	993	461
683	994	459
684	995	457
685	996	456
686	998	454
687	999	453
688	1000	451
689	1001	449
690	1001	448
691	1002	446
692	1003	444
693	1004	443
694	1005	441
695	1006	439
696	1007	437
697	1008	436
698	1009	434
699	1010	432
700	1011	431
701	1013	430
702	1013	428
703	1014	426
704	1015	425
705	1016	423
706	1017	421
707	1018	420
708	1019	418
709	1020	416
710	1021	415
711	1022	413
712	1023	411
713	1024	410
714	1024	408
715	1025	406
716	1027	405
717	1028	403
718	1029	402
719	1030	400
720	1031	399
721	1032	397
722	1033	395
723	1034	394
724	1035	392
725	1036	391
726	1036	389
727	1037	387
728	1038	386
729	1039	384
730	1040	382
731	1041	381
732	1043	380
733	1044	378
734	1045	376
735	1046	375
736	1047	373
737	1048	372
738	1049	370
739	1050	368
740	1051	367
741	1051	365
742	1052	364
743	1053	362
744	1054	360
745	1055	359
746	1056	357
747	1057	356
748	1059	354
749	1060	353
750	1060	351
751	1061	350
752	1062	348
753	1063	347
754	1064	345
755	1065	343
756	1066	342
757	1067	340
758	1068	339
759	1069	337
760	1070	336
761	1071	334
762	1072	333
763	1074	331
764	1075	330
765	1076	328
766	1077	327
767	1078	325
768	1079	324
769	1080	322
770	1081	321
771	1082	319
772	1083	318
773	1084	316
774	1084	314
775	1085	313
776	1086	311
777	1087	310
778	1088	308
779	1089	307
780	1090	305
781	1091	304
782	1092	302
783	1093	301
784	1094	299
785	1095	298
